EAR,MAR,TIME
0.2719213512522114,0.601142514926934,22:14:57.160536
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.3926616695319133,0.274535599249993,22:14:58.630712
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.3926616695319133,0.274535599249993,22:14:58.630712
0.3964636178993287,0.21573786516665266,22:15:00.310433
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.3926616695319133,0.274535599249993,22:14:58.630712
0.3964636178993287,0.21573786516665266,22:15:00.310433
0.1563719358382452,0.20786893258332634,22:15:01.260698
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.3926616695319133,0.274535599249993,22:14:58.630712
0.3964636178993287,0.21573786516665266,22:15:00.310433
0.1563719358382452,0.20786893258332634,22:15:01.260698
0.16623652780253143,0.16666666666666669,22:15:01.780488
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.3926616695319133,0.274535599249993,22:14:58.630712
0.3964636178993287,0.21573786516665266,22:15:00.310433
0.1563719358382452,0.20786893258332634,22:15:01.260698
0.16623652780253143,0.16666666666666669,22:15:01.780488
0.15687389691796036,0.285354109927885,22:15:02.863726
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.3926616695319133,0.274535599249993,22:14:58.630712
0.3964636178993287,0.21573786516665266,22:15:00.310433
0.1563719358382452,0.20786893258332634,22:15:01.260698
0.16623652780253143,0.16666666666666669,22:15:01.780488
0.15687389691796036,0.285354109927885,22:15:02.863726
0.14671027556327726,0.19621165057908915,22:15:03.430744
0.2719213512522114,0.601142514926934,22:14:57.160536
0.37269119056215466,0.19621165057908915,22:14:57.653797
0.3991883799163748,0.06666666666666667,22:14:58.160694
0.3926616695319133,0.274535599249993,22:14:58.630712
